title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms,location,best_match_idx,best_match_title,best_match_score
On the U.S. Firm and Establishment Size Distributions,,"This paper revisits the empirical evidence on the nature of firm and establishment size distributions in the United States using the Longitudinal Business Database (LBD), a confidential Census Bureau panel of all non-farm private firms and establishments with at least one employee. We establish five stylized facts that are relevant for the extent of granularity and the nature of growth in the U.S. economy: (1) with an estimated shape parameter significantly below 1, the best-fitting Pareto distribution substantially differs from Zipf's law for both firms and establishments; (2) a lognormal distribution fits both establishment and firm size distributions better than the commonly-used Pareto distribution, even far in the upper tail; (3) a convolution of lognormal and Pareto distributions fits both size distributions better than lognormal alone while also providing a better fit for the employment share distribution; (4) the estimated parameters are different across manufa cturing and services sectors, but the distribution fit ranking remains unchanged in the sectoral subsamples. Finally, using the Census of Manufactures (CM), we find that (5) the distribution of establishment-level total factor productivity---a common theoretical primitive for size---is also better described by lognormal than Pareto. We show that correctly characterizing the firm size distribution has first order implications for the effect of firm-level idiosyncratic shocks on aggregate activity.",2018,2018-11-14,0,"{'Andrea Stella', 'Illenin Kondo', 'Logan T. Lewis'}",,Firm Innovation and Growth; Economic Growth and Productivity; Global trade and economics,RePEc: Research Papers in Economics,preprint,Illenin O Kondo,https://openalex.org/A5023739944,Exporter Database; Census of Manufactures; Integrated Longitudinal Business Database,Census of Manufactures,Fed Board,1094,On the U.S. Firm and Establishment Size Distributions,100
Heavy tailed but not Zipf: Firm and establishment size in the United States,https://doi.org/10.1002/jae.2976,"Summary Heavy tails play an important role in modern macroeconomics and international economics. Previous work often assumes a Pareto distribution for firm size, typically with a shape parameter approaching Zipf's law. This convenient approximation has dramatic consequences for the importance of large firms in the economy. But we show that a lognormal distribution, or better yet, a convolution of a lognormal and a non‐Zipf Pareto distribution, provides a better description of the US economy, using confidential Census Bureau data. These findings hold even far in the upper tail and suggest that heterogeneous firm models should more systematically explore deviations from Zipf's law.",2023,2023-04-23,12,"{'Andrea Stella', 'Illenin Kondo', 'Logan T. Lewis'}",Federal Reserve Bank of Minneapolis; Federal Reserve Board of Governors; Federal Reserve Board of Governors,Firm Innovation and Growth; Global trade and economics; Economic Growth and Productivity,Journal of Applied Econometrics,article,Illenin O Kondo,https://openalex.org/A5023739944,Foreign Trade Data - Import; Census Bureau,Census Bureau,Fed Board,1092,"Heavy Tailed, but not Zipf: Firm and Establishment Size in the U.S.",90
On the U.S. Firm and Establishment Size Distributions,https://doi.org/10.17016/feds.2018.075,"This paper revisits the empirical evidence on the nature of firm and establishment size distributions in the United States using the Longitudinal Business Database (LBD), a confidential Census Bureau panel of all non-farm private firms and establishments with at least one employee. We establish five stylized facts that are relevant for the extent of granularity and the nature of growth in the U.S. economy: (1) with an estimated shape parameter significantly below 1, the best-fitting Pareto distribution substantially differs from Zipf's law for both firms and establishments; (2) a lognormal distribution fits both establishment and firm size distributions better than the commonly-used Pareto distribution, even far in the upper tail; (3) a convolution of lognormal and Pareto distributions fits both size distributions better than lognormal alone while also providing a better fit for the employment share distribution; (4) the estimated parameters are different across manufa cturing and services sectors, but the distribution fit ranking remains unchanged in the sectoral subsamples. Finally, using the Census of Manufactures (CM), we find that (5) the distribution of establishment-level total factor productivity---a common theoretical primitive for size---is also better described by lognormal than Pareto. We show that correctly characterizing the firm size distribution has first order implications for the effect of firm-level idiosyncratic shocks on aggregate activity.",2018,2018-11-01,9,"{'Andrea Stella', 'Illenin Kondo', 'Logan T. Lewis'}",Federal Reserve; Federal Reserve Board of Governors; Federal Reserve; Federal Reserve Board of Governors; Federal Reserve; Federal Reserve Board of Governors,Firm Innovation and Growth; Global trade and economics; Economic Growth and Productivity,Finance and Economics Discussion Series,article,Illenin O Kondo,https://openalex.org/A5023739944,Foreign Trade Data - Import; Census Bureau,Census Bureau,Fed Board,1094,On the U.S. Firm and Establishment Size Distributions,100
"Heavy Tailed, but not Zipf: Firm and Establishment Size in the U.S",,"Heavy tails play an important role in modern macroeconomics and international economics. Previous work often assumes a Pareto distribution for firm size, typically with a shape parameter approaching Zipf’s law. This convenient approximation has dramatic consequences for the importance of large firms in the economy. But we show that a lognormal distribution, or better yet, a convolution of a lognormal and a non-Zipf Pareto distribution, provides a better description of the U.S. economy, using confidential Census Bureau data. These findings hold even far in the upper tail and suggest heterogeneous firm models should more systematically explore deviations from Zipf’s law.",2021,2021-01-01,2,"{'Andrea Stella', 'Illenin Kondo', 'Logan T. Lewis'}",,Firm Innovation and Growth; Economic theories and models; Global trade and economics,RePEc: Research Papers in Economics,preprint,Illenin O Kondo,https://openalex.org/A5023739944,Foreign Trade Data - Import; Census Bureau,Census Bureau,Fed Board,1093,"Heavy Tailed, but not Zipf: Firm and Establishment Size in the U.S.",100
On the U.S. Firm and Establishment Size Distributions,,"This paper revisits the empirical evidence on the nature of firm and establishment size distributions in the United States using the Longitudinal Business Database (LBD), a confidential Census Bureau panel of all non-farm private firms and establishments with at least one employee. We establish five stylized facts that are relevant for the extent of granularity and the nature of growth in the U.S. economy: (1) with an estimated shape parameter significantly below 1, the best-fitting Pareto distribution substantially differs from Zipf's law for both firms and establishments; (2) a lognormal distribution fits both establishment and firm size distributions better than the commonly-used Pareto distribution, even far in the upper tail; (3) a convolution of lognormal and Pareto distributions fits both size distributions better than lognormal alone while also providing a better fit for the employment share distribution; (4) the estimated parameters are different across manufa cturing and services sectors, but the distribution fit ranking remains unchanged in the sectoral subsamples. Finally, using the Census of Manufactures (CM), we find that (5) the distribution of establishment-level total factor productivity---a common theoretical primitive for size---is also better described by lognormal than Pareto. We show that correctly characterizing the firm size distribution has first order implications for the effect of firm-level idiosyncratic shocks on aggregate activity.",2018,2018-11-14,0,"{'Andrea Stella', 'Illenin Kondo', 'Logan T. Lewis'}",,Firm Innovation and Growth; Economic Growth and Productivity; Global trade and economics,RePEc: Research Papers in Economics,preprint,Illenin O Kondo,https://openalex.org/A5023739944,Foreign Trade Data - Import; Census Bureau,Census Bureau,Fed Board,1094,On the U.S. Firm and Establishment Size Distributions,100
What Drives Differences in Management Practices?,https://doi.org/10.1257/aer.20170491,"Partnering with the US Census Bureau, we implement a new survey of “structured” management practices in two waves of 35,000 manufacturing plants in 2010 and 2015. We find an enormous dispersion of management practices across plants, with 40 percent of this variation across plants within the same firm. Management practices account for more than 20 percent of the variation in productivity, a similar, or greater, percentage as that accounted for by R&amp;D, ICT, or human capital. We find evidence of two key drivers to improve management. The business environment, as measured by right-to-work laws, boosts incentive management practices. Learning spillovers, as measured by the arrival of large “Million Dollar Plants” in the county, increases the management scores of incumbents. (JEL D22, D24, L25, L60, M11, M50)",2019,2019-05-01,374,"{'John Van Reenen', 'Nicholas Bloom', 'Erik Brynjolfsson', 'Megha Patnaik', 'Itay Saporta‐Eksten', 'Lucia Foster', 'Ron S. Jarmin'}",Stanford University; Massachusetts Institute of Technology; United States Census Bureau; United States Census Bureau; Indian Statistical Institute; Tel Aviv University; University College London; Massachusetts Institute of Technology,Firm Innovation and Growth; Merger and Competition Analysis; Corporate Finance and Governance,American Economic Review,article,Itay Saporta Eksten,https://openalex.org/A5112373961,Service Annual Survey; Foreign Trade Data - Import; Census Bureau,Census Bureau,Michigan,1302,What Drives Differences in Management Practices?,100
What drives differences in management practices,,"Partnering with the US Census Bureau, we implement a new survey of structured management practices in two waves of 35,000 manufacturing plants in 2010 and 2015. We fnd an enormous dispersion of management practices across plants, with 40 percent of this variation across plants within the same frm. Management practices account for more than 20 percent of the variation in productivity, a similar, or greater, percentage as that accounted for by R&D, ICT, or human capital. We fnd evidence of two key drivers to improve management. The business environment, as measured by right-to-work laws, boosts incentive management practices. Learning spillovers, as measured by the arrival of large Million Dollar Plants in the county, increases the management scores of incumbents.",2019,2019-05-05,0,"{'John Van Reenen', 'Nicholas Bloom', 'Erik Brynjolfsson', 'Megha Patnaik', 'Itay Saporta‐Eksten', 'Lucia Foster', 'Ron S. Jarmin'}",,Public Procurement and Policy; Regulation and Compliance Studies,RePEc: Research Papers in Economics,preprint,Itay Saporta Eksten,https://openalex.org/A5112373961,Service Annual Survey; Foreign Trade Data - Import; Census Bureau,Census Bureau,Michigan,1302,What Drives Differences in Management Practices?,100
The Unbundling of Advertising Agency Services: An Economic Analysis,https://doi.org/10.1515/1546-5616.1164,"Abstract We address a puzzle surrounding the shift from bundling to unbundling of U.S. advertising agency services and the slow pace of change over several decades. We model an agency’s decision as a tradeoff between the fixed cost to the advertiser of establishing a relationship with an agency and pecuniary economies of scale from media services provision. Using micro-data from the U.S. Census of Services for 1982-2007, we find agencies are more likely to unbundle with increasing size, diversification and higher media prices, and less likely with increasing age, larger media volume, and an interaction between media prices and volume.",2012,2012-12-03,8,"{'Alvin J. Silk', 'Mohammad Arzaghi', 'James C. Davis', 'Ernst R. Berndt'}",,Digital Platforms and Economics; Consumer Market Behavior and Pricing; Merger and Competition Analysis,Review of Marketing Science,article,James C Davis,https://openalex.org/A5004592401,Business Enterprise Research and Development Survey (BERD); Census of Services; Census of Retail Trade,Census of Services,Boston,393,The Unbundling of Advertising Agency Services: An Economic Analysis,100
Spatial organization of firms: the decision to split production and administration,https://doi.org/10.1111/j.1756-2171.2007.tb00079.x,"A firm's production activities are often supported by nonproduction activities, such as administrative units including headquarters, which process information both within and between firms. Firms may physically separate such administrative units from their production activities and create stand‐alone central administrative offices (CAOs). However, activities in multiple locations may cause internal communication costs. What types of firms are more likely to separate such functions? If firms separate administration and production, where do they locate CAOs? This paper examines firms' spatial organization using microlevel data from the US Census Bureau.",2007,2007-06-01,76,"{'Yukako Ono', 'Kristin Aarland', 'J. Vernon Henderson', 'James C. Davis'}",United States Census Bureau; John Brown University; Federal Reserve Bank of Chicago,Regional Economics and Spatial Analysis; Spatial and Panel Data Analysis; Local Government Finance and Decentralization,The RAND Journal of Economics,article,James C Davis,https://openalex.org/A5004592401,Census Bureau,Census Bureau,Boston,72,Spatial Organization of Firms: The decision to split production from administration,94
Spatial Organization of Firms: The Decision to Split Production and Administration,,"A firm’s production activities are often supported by non-production activities. Among these activities are administrative units including headquarters, which process information both within and between firms. Often firms physically separate such administrative units from their production activities and create stand alone Central Administrative Offices (CAO). However, having its activities in multiple locations potentially imposes significant internal firm face-to-face communication costs. What types of firms are more likely to separate out such functions? If firms do separate administration and production, where do they place CAOs and why? How often do firms open and close, or relocate CAOs? This paper documents such firms’ decisions on their spatial organization by using micro-level data from the U.S. Census Bureau.",2004,2004-02-01,2,"{'Yukako Ono', 'Kristin Aarland', 'J. Vernon Henderson', 'James C. Davis'}",United States Census Bureau; John Brown University; Federal Reserve Bank of Chicago,Regional Economics and Spatial Analysis; Business Strategy and Innovation; Cultural Industries and Urban Development,RePEc: Research Papers in Economics,preprint,James C Davis,https://openalex.org/A5004592401,Census Bureau,Census Bureau,Boston,71,Spatial Organization of Firms – The decision to split production from administration,94
Leapfrogging the Melting Pot? European Immigrants' Intergenerational Mobility across the Twentieth Century,https://doi.org/10.15195/v8.a23,"During the early twentieth century, industrial-era European immigrants entered the United States with lower levels of education than the U.S. average. However, empirical research has yielded unclear and inconsistent evidence about the extent and pace of their integration, leaving openings for arguments that contest the narrative that these groups experienced rapid integration and instead assert that educational deficits among lower-status groups persisted across multiple generations. Here, we advance another argument, that European immigrants may have ""leapfrogged"" or exceeded U.S.-born non-Hispanic white attainment by the third generation. To assess these ideas, we reconstituted three-generation families by linking individuals across the 1940 Census, years 1973, 1979, 1981-90 of the Current Population Survey, the 2000 Census, and years 2001-2017 of the American Community Survey. Results show that most European immigrant groups not only caught up with U.S.-born whites by the second generation, but surpassed them, and this advantage further increased in the third generation. This research provides a new understanding of the time to integration for 20",2021,2021-01-01,7,"{'James D. Bachmeier', 'Jennifer Van Hook', 'Thomas Foster', 'Kendal Lowrey'}",Pennsylvania State University; Pennsylvania State University; Temple University; United States Census Bureau,"Migration, Ethnicity, and Economy; Migration and Labor Dynamics; Social Policy and Reform Studies",Sociological Science,article,James D Bachmeier,https://openalex.org/A5070677601,American Community Survey; BOC Crosswalk 1940 IPUMS Research; Census Bureau; Missouri RDC; 1940 IPUMS Research,American Community Survey,Missouri,1632,Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,93
Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,,"During the early twentieth century, industrial-era European immigrants entered the United States with lower levels of education than the U.S. average. However, empirical research has yielded unclear and inconsistent evidence about the extent and pace of their integration, leaving openings for arguments that contest the narrative that these groups experienced rapid integration and instead assert that educational deficits among lower-status groups persisted across multiple generations. Here, we advance another argument, that European immigrants may have “leapfrogged” or exceeded U.S.-born non-Hispanic white attainment by the third generation. To assess these ideas, we reconstituted three-generation families by linking individuals across the 1940 Census, years 1973, 1979, 1981-90 of the Current Population Survey, the 2000 Census, and years 2001-2017 of the American Community Survey. Results show that most European immigrant groups not only caught up with U.S.-born whites by the second generation, but surpassed them, and this advantage further increased in the third generation. This research provides a new understanding of the time to integration for 20th century European immigrant groups by showing that they integrated at a faster pace than previously thought, indicative of a process of accelerated upward mobility.",2021,2021-08-01,0,"{'James D. Bachmeier', 'Jennifer Van Hook', 'Thomas Foster', 'Kendal Lowrey'}",,"Migration and Labor Dynamics; Migration, Ethnicity, and Economy; Urban, Neighborhood, and Segregation Studies",RePEc: Research Papers in Economics,preprint,James D Bachmeier,https://openalex.org/A5070677601,American Community Survey; BOC Crosswalk 1940 IPUMS Research; Census Bureau; Missouri RDC; 1940 IPUMS Research,American Community Survey,Missouri,1632,Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,100
"Estimates of Childhood Overweight and Obesity at the Region, State, and County Levels: A Multilevel Small-Area Estimation Approach",https://doi.org/10.1093/aje/kwab176,"Local-level childhood overweight and obesity data are often used to implement and evaluate community programs, as well as allocate resources to combat overweight and obesity. The most current substate estimates of US childhood obesity use data collected in 2007. Using a spatial multilevel model and the 2016 National Survey of Children's Health, we estimated childhood overweight and obesity prevalence rates at the Census regional division, state, and county levels using small-area estimation with poststratification. A sample of 24,162 children aged 10-17 years was used to estimate a national overweight and obesity rate of 30.7% (95% confidence interval: 27.0%, 34.9%). There was substantial county-to-county variability (range, 7.0% to 80.9%), with 31 out of 3,143 counties having an overweight and obesity rate significantly different from the national rate. Estimates from counties located in the Pacific region had higher uncertainty than other regions, driven by a higher proportion of underrepresented sociodemographic groups. Child-level overweight and obesity was related to race/ethnicity, sex, parental highest education (P < 0.01 for all), county-level walkability (P = 0.03), and urban/rural designation (P = 0.02). Overweight and obesity remains a vital issue for US youth, with substantial area-level variability. The additional uncertainty for underrepresented groups shows surveys need to better target diverse samples.",2021,2021-06-10,15,"{'Charity B. Breneman', 'Andrew T. Kaczynski', 'Marilyn E. Wende', 'Angela D. Liese', 'Alexander C. McLain', 'Jan M. Eberth', 'Anja Zgodic'}",University of South Carolina; Office of Minority Health; University of South Carolina; University of South Carolina,"Obesity, Physical Activity, Diet; Urban Transport and Accessibility; Health disparities and outcomes",American Journal of Epidemiology,article,Jan M Eberth,https://openalex.org/A5047227590,FSRDC; National Survey of Children's Health; Census Bureau; Triangle RDC,National Survey of Children's Health,Triangle,1530,"Estimate of childhood overweight and obesity at the region, state and county levels: a multilevel small area estimation approach",100
New evidence on the impacts of early exposure to the 1918 influenza pandemic on old-age mortality,https://doi.org/10.1080/19485565.2018.1501267,"This paper provides new evidence of the impacts of early life exposure to the 1918 pandemic on old-age mortality by analyzing data from the National Longitudinal Mortality Study (n ~ 220,000). The specifications used year and quarter of birth indicators to assess the effects of timing of pandemic exposure and used Cox proportional hazard models for all-cause mortality outcomes. The findings suggest evidence of excess all-cause mortality for cohorts born during 1918 and mixed evidence for cohorts born in 1917 and 1919. Therefore, contrary to some existing research, the results suggest no consistent evidence of the importance of specific windows of exposure by gestation period.",2018,2018-04-03,14,{'Jason M. Fletcher'},University of Wisconsin–Madison,"Birth, Development, and Health; Global Health Care Issues; Climate Change and Health Impacts",Biodemography and Social Biology,article,Jason Fletcher,https://openalex.org/A5014074388,National Longitudinal Mortality Study; American Community Survey Unedited Microdata; Decennial Census,National Longitudinal Mortality Study,Wisconsin,780,New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-age Mortality,100
Examining the Long Term Mortality Effects of Early Health Shocks,https://doi.org/10.2139/ssrn.2423544,"A growing literature in economics and other disciplines has tied exposure to early health shocks, particularly in utero influenza, to reductions in a variety of socioeconomic and health outcomes over the life course. However, no current evidence exists that examines this health shock on mortality because of lack of available data. This paper uses newly released files from the large, representative National Longitudinal Mortality Study to explore the mortality effects of the 1918 influenza pandemic for those in utero. While the results on socioeconomic outcomes mimic those in the literature, showing reductions in completed schooling and income fifty years following influenza exposure, the findings also suggest no effect on overall mortality or by categories of cause-of-death. These results are counter-intuitive in their contrast with the many reported effects on cardiovascular health as well as the literature linking education with later mortality.",2014,2014-01-01,6,{'Jason M. Fletcher'},University of Wisconsin–Madison,Climate Change and Health Impacts; Global Health Care Issues,SSRN Electronic Journal,article,Jason Fletcher,https://openalex.org/A5014074388,National Longitudinal Mortality Study; American Community Survey Unedited Microdata; Decennial Census,National Longitudinal Mortality Study,Wisconsin,779,Examining the Long Term Mortality Effects of Early Health Shocks,100
EXAMINING THE LONG TERM MORTALITY EFFECTS OF EARLY HEALTH SHOCKS,,"A growing literature in economics and other disciplines has tied exposure to early health shocks, particularly in utero influenza, to reductions in a variety of socioeconomic and health outcomes over the life course. However, no current evidence exists that examines this health shock on mortality because of lack of available data. This paper uses newly released files from the large, representative National Longitudinal Mortality Study to explore the mortality effects of the 1918 influenza pandemic for those in utero. While the results on socioeconomic outcomes mimic those in the literature, showing reductions in completed schooling and income fifty years following influenza exposure, the findings also suggest no effect on overall mortality or by categories of cause-of-death. These results are counter-intuitive in their contrast with the many reported effects on cardiovascular health as well as the literature linking education with later mortality",2014,2014-03-01,4,{'Jason M. Fletcher'},University of Wisconsin–Madison,Global Health Care Issues; Climate Change and Health Impacts; Health disparities and outcomes,RePEc: Research Papers in Economics,preprint,Jason Fletcher,https://openalex.org/A5014074388,National Longitudinal Mortality Study; American Community Survey Unedited Microdata; Decennial Census,National Longitudinal Mortality Study,Wisconsin,779,Examining the Long Term Mortality Effects of Early Health Shocks,100
New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-Age Mortality: A Research Note,https://doi.org/10.2139/ssrn.3234238,"This paper provides new evidence of the impacts of early life exposure to the 1918 pandemic on old-age mortality by analyzing data from the National Longitudinal Mortality Study (n ~ 220,000). The specifications used year and quarter of birth indicators to assess the effects of timing of pandemic exposure and used Cox proportional hazard models for all-cause mortality outcomes. The findings suggest evidence of excess all-cause mortality for cohorts born during 1918 and mixed evidence for cohorts born in 1917 and 1919. Therefore, contrary to some existing research, the results suggest no consistent evidence of the importance of specific windows of exposure by gestation period.",2018,2018-01-01,2,{'Jason M. Fletcher'},Yale University; University of Wisconsin–Madison,"Birth, Development, and Health; Climate Change and Health Impacts",SSRN Electronic Journal,article,Jason Fletcher,https://openalex.org/A5014074388,National Longitudinal Mortality Study; American Community Survey Unedited Microdata; Decennial Census,National Longitudinal Mortality Study,Wisconsin,780,New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-age Mortality,92
New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-Age Mortality: A Research Note,,"This paper provides new evidence of the impacts of early life exposure to the 1918 pandemic on old-age mortality by analyzing data from the National Longitudinal Mortality Study (n ~ 220,000). The specifications used year and quarter of birth indicators to assess the effects of timing of pandemic exposure and used Cox proportional hazard models for all-cause mortality outcomes. The findings suggest evidence of excess all-cause mortality for cohorts born during 1918 and mixed evidence for cohorts born in 1917 and 1919. Therefore, contrary to some existing research, the results suggest no consistent evidence of the importance of specific windows of exposure by gestation period.",2018,2018-01-01,0,{'Jason M. Fletcher'},,"Birth, Development, and Health; Climate Change and Health Impacts",RePEc: Research Papers in Economics,preprint,Jason Fletcher,https://openalex.org/A5014074388,National Longitudinal Mortality Study; American Community Survey Unedited Microdata; Decennial Census,National Longitudinal Mortality Study,Wisconsin,780,New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-age Mortality,92
New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-Age Mortality,,"This paper provides new evidence of the impacts of early life exposure to the 1918 pandemic with old-age mortality by analyzing data from the National Longitudinal Mortality Study (n ~ 220,000). The specifications used year and quarter of birth indicators to assess the effects of timing of pandemic exposure and used Cox proportional hazard models for all-cause mortality outcomes. The findings suggest evidence of excess all-cause mortality for cohorts born during 1918 and mixed evidence for cohorts born in 1917 and 1919. Therefore, contrary to some existing research, the results suggest no consistent evidence of the importance of specific windows of exposure by gestation period.",2018,2018-01-01,0,{'Jason M. Fletcher'},University of Wisconsin–Madison,Climate Change and Health Impacts,RePEc: Research Papers in Economics,preprint,Jason Fletcher,https://openalex.org/A5014074388,National Longitudinal Mortality Study; American Community Survey Unedited Microdata; Decennial Census,National Longitudinal Mortality Study,Wisconsin,780,New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-age Mortality,100
Earnings Responses to Increases in Payroll Taxes,,"This paper uses SIPP data matched to longitudinal uncapped earnings records from the Social Security Administration for 1981 to 1999 in order to analyze earnings responses to increases in tax rates and inform discussions about the likely effects of raising the Social Security taxable maximum. The earnings distribution of workers around the current taxable maximum is inconsistent with an annual model in which people are highly responsive to the payroll tax rate, even in the subset of self-employed individuals. Panel data on married men with high earnings display a tremendous increase in earnings over the 1980s and 1990s relative to other groups, with no clear breaks around the key tax reforms. This suggests that other income groups cannot serve as a control group for the high earners. Our analysis does not support the finding of a large behavioral response to taxation by wives of high earners. We actually find a decrease in the labor supply of wives of high earners around both the 1986 and the 1993 tax reforms, which we attribute to an income effect due to the surge in primary earnings at the top. Policy simulations suggest that with an earnings elasticity of 0.5, lost income tax revenue and increased deadweight loss would swamp any benefits from the increase in payroll tax revenue. In contrast, with an elasticity of 0.2, the ratio of the gain in OASDI revenue to lost income tax revenue and deadweight loss would be much greater. This research was supported by the U.S. Social Security Administration through grant #10-P-98363-1-01 to the National Bureau of Economic Research as part of the SSA Retirement Research Consortium. The research in this paper was conducted while Liebman was a Special Sworn Status researcher of the U.S. Census Bureau at the Boston Census Research Data Center (BRDC). This paper has been screened to insure that no confidential data are revealed. The findings and conclusions expressed are solely those of the authors and do not necessarily represent the views of SSA, the Census Bureau, any other agency of the Federal Government, or the NBER. Support for the Census research data centers from the NSF (award no. ITR-0427889) is gratefully acknowledged. We thank Erin Metcalf, Daniel Ramsey, and Sarena Goodman for excellent research assistance. We thank Leora Friedberg for helpful comments and discussions.",2006,2006-09-01,30,"{'Emmanuel Saez', 'Jeffrey B. Liebman'}",,"Gender, Labor, and Family Dynamics; Financial Literacy, Pension, Retirement Analysis; Fiscal Policy and Economic Growth",,article,Jeffrey B Liebman,https://openalex.org/A5041021357,Census Bureau; Standard Statistical Establishment List - non Name and Address File; SIPP Public-Use Crosswalk,Census Bureau,Boston,54,Earnings Responses to Increases in Payroll Taxes,100
Leapfrogging the Melting Pot? European Immigrants' Intergenerational Mobility across the Twentieth Century,https://doi.org/10.15195/v8.a23,"During the early twentieth century, industrial-era European immigrants entered the United States with lower levels of education than the U.S. average. However, empirical research has yielded unclear and inconsistent evidence about the extent and pace of their integration, leaving openings for arguments that contest the narrative that these groups experienced rapid integration and instead assert that educational deficits among lower-status groups persisted across multiple generations. Here, we advance another argument, that European immigrants may have ""leapfrogged"" or exceeded U.S.-born non-Hispanic white attainment by the third generation. To assess these ideas, we reconstituted three-generation families by linking individuals across the 1940 Census, years 1973, 1979, 1981-90 of the Current Population Survey, the 2000 Census, and years 2001-2017 of the American Community Survey. Results show that most European immigrant groups not only caught up with U.S.-born whites by the second generation, but surpassed them, and this advantage further increased in the third generation. This research provides a new understanding of the time to integration for 20",2021,2021-01-01,7,"{'James D. Bachmeier', 'Jennifer Van Hook', 'Thomas Foster', 'Kendal Lowrey'}",Pennsylvania State University; Pennsylvania State University; Temple University; United States Census Bureau,"Migration, Ethnicity, and Economy; Migration and Labor Dynamics; Social Policy and Reform Studies",Sociological Science,article,Jennifer L Van Hook,https://openalex.org/A5052990364,American Community Survey; BOC Crosswalk 1940 IPUMS Research; Census Bureau; 1940 IPUMS Research,American Community Survey,Penn State,1632,Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,93
Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,,"During the early twentieth century, industrial-era European immigrants entered the United States with lower levels of education than the U.S. average. However, empirical research has yielded unclear and inconsistent evidence about the extent and pace of their integration, leaving openings for arguments that contest the narrative that these groups experienced rapid integration and instead assert that educational deficits among lower-status groups persisted across multiple generations. Here, we advance another argument, that European immigrants may have “leapfrogged” or exceeded U.S.-born non-Hispanic white attainment by the third generation. To assess these ideas, we reconstituted three-generation families by linking individuals across the 1940 Census, years 1973, 1979, 1981-90 of the Current Population Survey, the 2000 Census, and years 2001-2017 of the American Community Survey. Results show that most European immigrant groups not only caught up with U.S.-born whites by the second generation, but surpassed them, and this advantage further increased in the third generation. This research provides a new understanding of the time to integration for 20th century European immigrant groups by showing that they integrated at a faster pace than previously thought, indicative of a process of accelerated upward mobility.",2021,2021-08-01,0,"{'James D. Bachmeier', 'Jennifer Van Hook', 'Thomas Foster', 'Kendal Lowrey'}",,"Migration and Labor Dynamics; Migration, Ethnicity, and Economy; Urban, Neighborhood, and Segregation Studies",RePEc: Research Papers in Economics,preprint,Jennifer L Van Hook,https://openalex.org/A5052990364,American Community Survey; BOC Crosswalk 1940 IPUMS Research; Census Bureau; 1940 IPUMS Research,American Community Survey,Penn State,1632,Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,100
Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,,"In the U.S. Census of Manufactures, the Census Bureau imputes missing values using a combination of mean imputation, ratio imputation, and conditional mean imputation. It is wellknown that imputations based on these methods can result in underestimation of variability and potential bias in multivariate inferences. We show that this appears to be the case for the existing imputations in the Census of Manufactures. We then present an alternative strategy for handling the missing data based on multiple imputation. Specifically, we impute missing values via sequences of classification and regression trees, which offer a computationally straightforward and flexible approach for semi-automatic, large-scale multiple imputation. We also present an approach to evaluating these imputations based on posterior predictive checks. We use the multiple imputations, and the imputations currently employed by the Census Bureau, to estimate production function parameters and productivity dispersions. The results suggest that the two approaches provide quite different answers about productivity.",2011,2011-01-01,0,"{'Jerome P. Reiter', 'Amil Petrin', 'T. Kirk White'}",,Statistical Methods and Bayesian Inference; Economic and Environmental Valuation; Census and Population Estimation,RePEc: Research Papers in Economics,preprint,Jerome P Reiter,https://openalex.org/A5058305379,American Community Survey; Census of Manufactures; Triangle RDC; Annual Survey of Manufactures; FSRDC,Census of Manufactures,Triangle,407,Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,100
