"ProjectTitle","Project Abstract","OutputTitle","OutputBiblio","OutputYear","ProjectRDC","Keywords","Authors","Year","DOI"
"Location, growth, and productivity in the manufacturing and service sectors","This proposal has four interrelated parts, which use Census Bureau establishment level data for the manufacturing, headquarters, and business, professional, and financial service sectors. The first part that applies throughout examines the utility of these Census data by evaluating both their quality and their ability to characterize potentially important developments in these sectors. The other three parts deal with the specifics of the economic investigations using these data. What are these investigations? Certain service and headquarters activities locate disproportionately in the largest metro areas, while manufacturing is found disproportionately in smaller towns and cities. Broadly defined business services have twice the share of employment in the largest metro areas as they do in the smallest cities, while for manufacturing it is the other way around. The question is why; and, hence, what is the role of large metro areas versus small and medium size cities in a country. To start to understand the forces at work, we need to examine at a micro level the local growth patterns, productivity, and outsourcing decisions in these industries. Urban agglomeration is determined primarily by two related forces. First are local scale externalities from information spillovers and labor market operations, whether internal to an industry or deriving from the overall scale of the local urban environment. Second are the benefits to local firms from local linkages in input and output markets. To what extent are headquarters in metro areas to take advantage of the diversity of local intermediate service inputs, as opposed to gather information about innovations, export markets, financing, and the like through local information spillovers from, say, other headquarters? Similarly, why are services located in the largest and most expensive metro areas? To what extent is it local scale externalities within the service sector, versus upstream and downstream linkages within the service sector, versus linkages to sectors using services (e.g., headquarters) where those sectors may experience high own-sector scale externalities? The first two sections of the proposal examine these issues through a detailed analysis of city growth of headquarters and service industries, out-sourcing decisions, and productivity of headquarters and service sector firms. A variety of questions are explored econometrically. The third section of the proposal looks at the determinants of industry mobility across cities. The fourth section of the proposal illustrates issues concerning the utility of the data that this work will examine in the course of data preparation and analysis. The proposal involves the use of the Longitudinal Research Data [LRD] for manufacturing, the Company Auxiliary Organization [CAO] and the Large Company Survey [ES-9100] for headquarters and firms, the Standard Statistical Establishment List [SSEL] and the time linked version of that [LBD] for service sector establishments, and the Assets and Expenditures Survey [AES] for service establishment material, service, and capital inputs (including computers). The CAO and ES-9100 have been rarely used in the past; the LBD has just been constructed to link establishments over time; and the AES has never been used by academic researchers. The project will benefit Census Bureau programs in understanding the quality of data produced through Census surveys, as well as identifying shortcomings of current data collection programs and documenting new data collection needs. The part of the project which employs location information (in the LRD, CAO, and AES) to examine plant location and mobility across geographic areas will help identify strengths and weaknesses of current geo-coding operations. It will reveal trends in industrial location that the Census Bureau should be aware of in its future collection activities. The service-outsourcing component of the project is the first systematic look at the importance of collecting (or not collecting) this kind of cost data. Expenditure questions for business services such as legal and accounting were only first asked in the 1992 ASM. The project will help understand if these costs are a significant proportion of total production costs for plants, headquarters and firms in the AES, CAO, ES-9100, and Annual Survey of Manufactures [ASM] and how such costs vary across service and manufacturing sectors of the economy. The analysis will reveal which categories of purchased services are most important items for data collection in different surveys. It will also reveal whether questions about out-sourcing in categories such as repair services are properly constructed or whether more questions about intrafirm relations and exchange of services would be helpful in either the CAO, ES-9100, or plant surveys. The project will investigate headquarters and service industry survey responses that in general have been little explored by researchers and analysts beyond the basic Title 13 reporting activity conducted by Census. This work parallels the extensive expansion of the service sector surveys currently underway within the Census Economic Survey programs. Given how dynamic these sectors of the economy are, the analysis of this project will help provide important input to the evaluation and anticipation of the changes occurring in these sectors and their impact on survey execution. Opportunities can be uncovered for question clarification to improve the accuracy of the information reported by survey respondents. For example, does the AES include all the key pieces of information on the economic behavior of large service firms, are certain questions ill-designed to induce the desired correct response, or are some questions irrelevant? How useful for economic analyses are the individual industry Census of Services questionnaires and well do they integrate into the AES for analysis? The scope of the project includes many data sets. By linking the data sets together by firm, it is possible to identify the extent to which the establishments and firms match up over the surveys. Because each are the result of different survey processes, the linking will help clarify coverage of multiestablishment firms’ activity and information gathered. Is there organizational complexity that is not currently being correctly captured by the surveys? Can we infer new information by combining the surveys? For example, is there additional detail on the functions of auxiliary establishments that can be uncovered using the industry classifications of other operating units in the same firm? Do outsourcing expenditures for, say, legal services for establishments across the surveys add up to the totals reported for the firm? If not, can the differences be identified and understood? Are differences expected or problematic, and if so what can be done to improve coverage?","Where Do Manufacturing Firms Locate Their Headquarters?","“Where Do Manufacturing Firms Locate Their Headquarters?” (with J. Vernon Henderson), Journal of Urban Economics, Vol. 63, No. 2, pp. 431- 450, March 2008","2008","Boston",NA,"“Where Do Manufacturing Firms Locate Their Headquarters?”","2008",NA
"Location, growth, and productivity in the manufacturing and service sectors","This proposal has four interrelated parts, which use Census Bureau establishment level data for the manufacturing, headquarters, and business, professional, and financial service sectors. The first part that applies throughout examines the utility of these Census data by evaluating both their quality and their ability to characterize potentially important developments in these sectors. The other three parts deal with the specifics of the economic investigations using these data. What are these investigations? Certain service and headquarters activities locate disproportionately in the largest metro areas, while manufacturing is found disproportionately in smaller towns and cities. Broadly defined business services have twice the share of employment in the largest metro areas as they do in the smallest cities, while for manufacturing it is the other way around. The question is why; and, hence, what is the role of large metro areas versus small and medium size cities in a country. To start to understand the forces at work, we need to examine at a micro level the local growth patterns, productivity, and outsourcing decisions in these industries. Urban agglomeration is determined primarily by two related forces. First are local scale externalities from information spillovers and labor market operations, whether internal to an industry or deriving from the overall scale of the local urban environment. Second are the benefits to local firms from local linkages in input and output markets. To what extent are headquarters in metro areas to take advantage of the diversity of local intermediate service inputs, as opposed to gather information about innovations, export markets, financing, and the like through local information spillovers from, say, other headquarters? Similarly, why are services located in the largest and most expensive metro areas? To what extent is it local scale externalities within the service sector, versus upstream and downstream linkages within the service sector, versus linkages to sectors using services (e.g., headquarters) where those sectors may experience high own-sector scale externalities? The first two sections of the proposal examine these issues through a detailed analysis of city growth of headquarters and service industries, out-sourcing decisions, and productivity of headquarters and service sector firms. A variety of questions are explored econometrically. The third section of the proposal looks at the determinants of industry mobility across cities. The fourth section of the proposal illustrates issues concerning the utility of the data that this work will examine in the course of data preparation and analysis. The proposal involves the use of the Longitudinal Research Data [LRD] for manufacturing, the Company Auxiliary Organization [CAO] and the Large Company Survey [ES-9100] for headquarters and firms, the Standard Statistical Establishment List [SSEL] and the time linked version of that [LBD] for service sector establishments, and the Assets and Expenditures Survey [AES] for service establishment material, service, and capital inputs (including computers). The CAO and ES-9100 have been rarely used in the past; the LBD has just been constructed to link establishments over time; and the AES has never been used by academic researchers. The project will benefit Census Bureau programs in understanding the quality of data produced through Census surveys, as well as identifying shortcomings of current data collection programs and documenting new data collection needs. The part of the project which employs location information (in the LRD, CAO, and AES) to examine plant location and mobility across geographic areas will help identify strengths and weaknesses of current geo-coding operations. It will reveal trends in industrial location that the Census Bureau should be aware of in its future collection activities. The service-outsourcing component of the project is the first systematic look at the importance of collecting (or not collecting) this kind of cost data. Expenditure questions for business services such as legal and accounting were only first asked in the 1992 ASM. The project will help understand if these costs are a significant proportion of total production costs for plants, headquarters and firms in the AES, CAO, ES-9100, and Annual Survey of Manufactures [ASM] and how such costs vary across service and manufacturing sectors of the economy. The analysis will reveal which categories of purchased services are most important items for data collection in different surveys. It will also reveal whether questions about out-sourcing in categories such as repair services are properly constructed or whether more questions about intrafirm relations and exchange of services would be helpful in either the CAO, ES-9100, or plant surveys. The project will investigate headquarters and service industry survey responses that in general have been little explored by researchers and analysts beyond the basic Title 13 reporting activity conducted by Census. This work parallels the extensive expansion of the service sector surveys currently underway within the Census Economic Survey programs. Given how dynamic these sectors of the economy are, the analysis of this project will help provide important input to the evaluation and anticipation of the changes occurring in these sectors and their impact on survey execution. Opportunities can be uncovered for question clarification to improve the accuracy of the information reported by survey respondents. For example, does the AES include all the key pieces of information on the economic behavior of large service firms, are certain questions ill-designed to induce the desired correct response, or are some questions irrelevant? How useful for economic analyses are the individual industry Census of Services questionnaires and well do they integrate into the AES for analysis? The scope of the project includes many data sets. By linking the data sets together by firm, it is possible to identify the extent to which the establishments and firms match up over the surveys. Because each are the result of different survey processes, the linking will help clarify coverage of multiestablishment firms’ activity and information gathered. Is there organizational complexity that is not currently being correctly captured by the surveys? Can we infer new information by combining the surveys? For example, is there additional detail on the functions of auxiliary establishments that can be uncovered using the industry classifications of other operating units in the same firm? Do outsourcing expenditures for, say, legal services for establishments across the surveys add up to the totals reported for the firm? If not, can the differences be identified and understood? Are differences expected or problematic, and if so what can be done to improve coverage?","Spatial mobility and geographic concentration","Arzaghi, M. and J.Davis (2005), “Spatial mobility and geographic concentration,” mimeo.","2005","Boston",NA,"Arzaghi, M. and J.Davis","2005",NA
"Location, growth, and productivity in the manufacturing and service sectors","This proposal has four interrelated parts, which use Census Bureau establishment level data for the manufacturing, headquarters, and business, professional, and financial service sectors. The first part that applies throughout examines the utility of these Census data by evaluating both their quality and their ability to characterize potentially important developments in these sectors. The other three parts deal with the specifics of the economic investigations using these data. What are these investigations? Certain service and headquarters activities locate disproportionately in the largest metro areas, while manufacturing is found disproportionately in smaller towns and cities. Broadly defined business services have twice the share of employment in the largest metro areas as they do in the smallest cities, while for manufacturing it is the other way around. The question is why; and, hence, what is the role of large metro areas versus small and medium size cities in a country. To start to understand the forces at work, we need to examine at a micro level the local growth patterns, productivity, and outsourcing decisions in these industries. Urban agglomeration is determined primarily by two related forces. First are local scale externalities from information spillovers and labor market operations, whether internal to an industry or deriving from the overall scale of the local urban environment. Second are the benefits to local firms from local linkages in input and output markets. To what extent are headquarters in metro areas to take advantage of the diversity of local intermediate service inputs, as opposed to gather information about innovations, export markets, financing, and the like through local information spillovers from, say, other headquarters? Similarly, why are services located in the largest and most expensive metro areas? To what extent is it local scale externalities within the service sector, versus upstream and downstream linkages within the service sector, versus linkages to sectors using services (e.g., headquarters) where those sectors may experience high own-sector scale externalities? The first two sections of the proposal examine these issues through a detailed analysis of city growth of headquarters and service industries, out-sourcing decisions, and productivity of headquarters and service sector firms. A variety of questions are explored econometrically. The third section of the proposal looks at the determinants of industry mobility across cities. The fourth section of the proposal illustrates issues concerning the utility of the data that this work will examine in the course of data preparation and analysis. The proposal involves the use of the Longitudinal Research Data [LRD] for manufacturing, the Company Auxiliary Organization [CAO] and the Large Company Survey [ES-9100] for headquarters and firms, the Standard Statistical Establishment List [SSEL] and the time linked version of that [LBD] for service sector establishments, and the Assets and Expenditures Survey [AES] for service establishment material, service, and capital inputs (including computers). The CAO and ES-9100 have been rarely used in the past; the LBD has just been constructed to link establishments over time; and the AES has never been used by academic researchers. The project will benefit Census Bureau programs in understanding the quality of data produced through Census surveys, as well as identifying shortcomings of current data collection programs and documenting new data collection needs. The part of the project which employs location information (in the LRD, CAO, and AES) to examine plant location and mobility across geographic areas will help identify strengths and weaknesses of current geo-coding operations. It will reveal trends in industrial location that the Census Bureau should be aware of in its future collection activities. The service-outsourcing component of the project is the first systematic look at the importance of collecting (or not collecting) this kind of cost data. Expenditure questions for business services such as legal and accounting were only first asked in the 1992 ASM. The project will help understand if these costs are a significant proportion of total production costs for plants, headquarters and firms in the AES, CAO, ES-9100, and Annual Survey of Manufactures [ASM] and how such costs vary across service and manufacturing sectors of the economy. The analysis will reveal which categories of purchased services are most important items for data collection in different surveys. It will also reveal whether questions about out-sourcing in categories such as repair services are properly constructed or whether more questions about intrafirm relations and exchange of services would be helpful in either the CAO, ES-9100, or plant surveys. The project will investigate headquarters and service industry survey responses that in general have been little explored by researchers and analysts beyond the basic Title 13 reporting activity conducted by Census. This work parallels the extensive expansion of the service sector surveys currently underway within the Census Economic Survey programs. Given how dynamic these sectors of the economy are, the analysis of this project will help provide important input to the evaluation and anticipation of the changes occurring in these sectors and their impact on survey execution. Opportunities can be uncovered for question clarification to improve the accuracy of the information reported by survey respondents. For example, does the AES include all the key pieces of information on the economic behavior of large service firms, are certain questions ill-designed to induce the desired correct response, or are some questions irrelevant? How useful for economic analyses are the individual industry Census of Services questionnaires and well do they integrate into the AES for analysis? The scope of the project includes many data sets. By linking the data sets together by firm, it is possible to identify the extent to which the establishments and firms match up over the surveys. Because each are the result of different survey processes, the linking will help clarify coverage of multiestablishment firms’ activity and information gathered. Is there organizational complexity that is not currently being correctly captured by the surveys? Can we infer new information by combining the surveys? For example, is there additional detail on the functions of auxiliary establishments that can be uncovered using the industry classifications of other operating units in the same firm? Do outsourcing expenditures for, say, legal services for establishments across the surveys add up to the totals reported for the firm? If not, can the differences be identified and understood? Are differences expected or problematic, and if so what can be done to improve coverage?","The Agglomeration of Headquarters","Davis, J.C. and J.V. Henderson (2004), “The Agglomeration of Headquarters,” CES Working Paper 04-02, February 2004.","2004","Boston",NA,"Davis, J.C. and J.V. Henderson","2004",NA
"Location, growth, and productivity in the manufacturing and service sectors","This proposal has four interrelated parts, which use Census Bureau establishment level data for the manufacturing, headquarters, and business, professional, and financial service sectors. The first part that applies throughout examines the utility of these Census data by evaluating both their quality and their ability to characterize potentially important developments in these sectors. The other three parts deal with the specifics of the economic investigations using these data. What are these investigations? Certain service and headquarters activities locate disproportionately in the largest metro areas, while manufacturing is found disproportionately in smaller towns and cities. Broadly defined business services have twice the share of employment in the largest metro areas as they do in the smallest cities, while for manufacturing it is the other way around. The question is why; and, hence, what is the role of large metro areas versus small and medium size cities in a country. To start to understand the forces at work, we need to examine at a micro level the local growth patterns, productivity, and outsourcing decisions in these industries. Urban agglomeration is determined primarily by two related forces. First are local scale externalities from information spillovers and labor market operations, whether internal to an industry or deriving from the overall scale of the local urban environment. Second are the benefits to local firms from local linkages in input and output markets. To what extent are headquarters in metro areas to take advantage of the diversity of local intermediate service inputs, as opposed to gather information about innovations, export markets, financing, and the like through local information spillovers from, say, other headquarters? Similarly, why are services located in the largest and most expensive metro areas? To what extent is it local scale externalities within the service sector, versus upstream and downstream linkages within the service sector, versus linkages to sectors using services (e.g., headquarters) where those sectors may experience high own-sector scale externalities? The first two sections of the proposal examine these issues through a detailed analysis of city growth of headquarters and service industries, out-sourcing decisions, and productivity of headquarters and service sector firms. A variety of questions are explored econometrically. The third section of the proposal looks at the determinants of industry mobility across cities. The fourth section of the proposal illustrates issues concerning the utility of the data that this work will examine in the course of data preparation and analysis. The proposal involves the use of the Longitudinal Research Data [LRD] for manufacturing, the Company Auxiliary Organization [CAO] and the Large Company Survey [ES-9100] for headquarters and firms, the Standard Statistical Establishment List [SSEL] and the time linked version of that [LBD] for service sector establishments, and the Assets and Expenditures Survey [AES] for service establishment material, service, and capital inputs (including computers). The CAO and ES-9100 have been rarely used in the past; the LBD has just been constructed to link establishments over time; and the AES has never been used by academic researchers. The project will benefit Census Bureau programs in understanding the quality of data produced through Census surveys, as well as identifying shortcomings of current data collection programs and documenting new data collection needs. The part of the project which employs location information (in the LRD, CAO, and AES) to examine plant location and mobility across geographic areas will help identify strengths and weaknesses of current geo-coding operations. It will reveal trends in industrial location that the Census Bureau should be aware of in its future collection activities. The service-outsourcing component of the project is the first systematic look at the importance of collecting (or not collecting) this kind of cost data. Expenditure questions for business services such as legal and accounting were only first asked in the 1992 ASM. The project will help understand if these costs are a significant proportion of total production costs for plants, headquarters and firms in the AES, CAO, ES-9100, and Annual Survey of Manufactures [ASM] and how such costs vary across service and manufacturing sectors of the economy. The analysis will reveal which categories of purchased services are most important items for data collection in different surveys. It will also reveal whether questions about out-sourcing in categories such as repair services are properly constructed or whether more questions about intrafirm relations and exchange of services would be helpful in either the CAO, ES-9100, or plant surveys. The project will investigate headquarters and service industry survey responses that in general have been little explored by researchers and analysts beyond the basic Title 13 reporting activity conducted by Census. This work parallels the extensive expansion of the service sector surveys currently underway within the Census Economic Survey programs. Given how dynamic these sectors of the economy are, the analysis of this project will help provide important input to the evaluation and anticipation of the changes occurring in these sectors and their impact on survey execution. Opportunities can be uncovered for question clarification to improve the accuracy of the information reported by survey respondents. For example, does the AES include all the key pieces of information on the economic behavior of large service firms, are certain questions ill-designed to induce the desired correct response, or are some questions irrelevant? How useful for economic analyses are the individual industry Census of Services questionnaires and well do they integrate into the AES for analysis? The scope of the project includes many data sets. By linking the data sets together by firm, it is possible to identify the extent to which the establishments and firms match up over the surveys. Because each are the result of different survey processes, the linking will help clarify coverage of multiestablishment firms’ activity and information gathered. Is there organizational complexity that is not currently being correctly captured by the surveys? Can we infer new information by combining the surveys? For example, is there additional detail on the functions of auxiliary establishments that can be uncovered using the industry classifications of other operating units in the same firm? Do outsourcing expenditures for, say, legal services for establishments across the surveys add up to the totals reported for the firm? If not, can the differences be identified and understood? Are differences expected or problematic, and if so what can be done to improve coverage?","Spatial Organization of Firms – The decision to split production from administration","Aarland, K., J.C. Davis, J.V. Henderson and Y. Ono, “Spatial Organization of Firms – The decision to split production from administration,” CES Working Paper 04-03, February 2004.","2004","Boston",NA,"Aarland, K., J.C. Davis, J.V. Henderson and Y. Ono, “Spatial Organization of Firms – The decision to split production from administration,” CES Working Paper","2004",NA
"Location, growth, and productivity in the manufacturing and service sectors","This proposal has four interrelated parts, which use Census Bureau establishment level data for the manufacturing, headquarters, and business, professional, and financial service sectors. The first part that applies throughout examines the utility of these Census data by evaluating both their quality and their ability to characterize potentially important developments in these sectors. The other three parts deal with the specifics of the economic investigations using these data. What are these investigations? Certain service and headquarters activities locate disproportionately in the largest metro areas, while manufacturing is found disproportionately in smaller towns and cities. Broadly defined business services have twice the share of employment in the largest metro areas as they do in the smallest cities, while for manufacturing it is the other way around. The question is why; and, hence, what is the role of large metro areas versus small and medium size cities in a country. To start to understand the forces at work, we need to examine at a micro level the local growth patterns, productivity, and outsourcing decisions in these industries. Urban agglomeration is determined primarily by two related forces. First are local scale externalities from information spillovers and labor market operations, whether internal to an industry or deriving from the overall scale of the local urban environment. Second are the benefits to local firms from local linkages in input and output markets. To what extent are headquarters in metro areas to take advantage of the diversity of local intermediate service inputs, as opposed to gather information about innovations, export markets, financing, and the like through local information spillovers from, say, other headquarters? Similarly, why are services located in the largest and most expensive metro areas? To what extent is it local scale externalities within the service sector, versus upstream and downstream linkages within the service sector, versus linkages to sectors using services (e.g., headquarters) where those sectors may experience high own-sector scale externalities? The first two sections of the proposal examine these issues through a detailed analysis of city growth of headquarters and service industries, out-sourcing decisions, and productivity of headquarters and service sector firms. A variety of questions are explored econometrically. The third section of the proposal looks at the determinants of industry mobility across cities. The fourth section of the proposal illustrates issues concerning the utility of the data that this work will examine in the course of data preparation and analysis. The proposal involves the use of the Longitudinal Research Data [LRD] for manufacturing, the Company Auxiliary Organization [CAO] and the Large Company Survey [ES-9100] for headquarters and firms, the Standard Statistical Establishment List [SSEL] and the time linked version of that [LBD] for service sector establishments, and the Assets and Expenditures Survey [AES] for service establishment material, service, and capital inputs (including computers). The CAO and ES-9100 have been rarely used in the past; the LBD has just been constructed to link establishments over time; and the AES has never been used by academic researchers. The project will benefit Census Bureau programs in understanding the quality of data produced through Census surveys, as well as identifying shortcomings of current data collection programs and documenting new data collection needs. The part of the project which employs location information (in the LRD, CAO, and AES) to examine plant location and mobility across geographic areas will help identify strengths and weaknesses of current geo-coding operations. It will reveal trends in industrial location that the Census Bureau should be aware of in its future collection activities. The service-outsourcing component of the project is the first systematic look at the importance of collecting (or not collecting) this kind of cost data. Expenditure questions for business services such as legal and accounting were only first asked in the 1992 ASM. The project will help understand if these costs are a significant proportion of total production costs for plants, headquarters and firms in the AES, CAO, ES-9100, and Annual Survey of Manufactures [ASM] and how such costs vary across service and manufacturing sectors of the economy. The analysis will reveal which categories of purchased services are most important items for data collection in different surveys. It will also reveal whether questions about out-sourcing in categories such as repair services are properly constructed or whether more questions about intrafirm relations and exchange of services would be helpful in either the CAO, ES-9100, or plant surveys. The project will investigate headquarters and service industry survey responses that in general have been little explored by researchers and analysts beyond the basic Title 13 reporting activity conducted by Census. This work parallels the extensive expansion of the service sector surveys currently underway within the Census Economic Survey programs. Given how dynamic these sectors of the economy are, the analysis of this project will help provide important input to the evaluation and anticipation of the changes occurring in these sectors and their impact on survey execution. Opportunities can be uncovered for question clarification to improve the accuracy of the information reported by survey respondents. For example, does the AES include all the key pieces of information on the economic behavior of large service firms, are certain questions ill-designed to induce the desired correct response, or are some questions irrelevant? How useful for economic analyses are the individual industry Census of Services questionnaires and well do they integrate into the AES for analysis? The scope of the project includes many data sets. By linking the data sets together by firm, it is possible to identify the extent to which the establishments and firms match up over the surveys. Because each are the result of different survey processes, the linking will help clarify coverage of multiestablishment firms’ activity and information gathered. Is there organizational complexity that is not currently being correctly captured by the surveys? Can we infer new information by combining the surveys? For example, is there additional detail on the functions of auxiliary establishments that can be uncovered using the industry classifications of other operating units in the same firm? Do outsourcing expenditures for, say, legal services for establishments across the surveys add up to the totals reported for the firm? If not, can the differences be identified and understood? Are differences expected or problematic, and if so what can be done to improve coverage?","Spatial Organization of Firms: The decision to split production from administration","Aarland, K., J.C. Davis, J.V. Henderson and Y. Ono, “Spatial Organization of Firms: The decision to split production from administration,” The RAND Journal of Economics, Vol. 38, No. 2 480-494, June 2007","2007","Boston",NA,"Aarland, K., J.C. Davis, J.V. Henderson and Y. Ono, “Spatial Organization of Firms: The decision to split production from administration,” The RAND Journal of Economics, Vol.","2007",NA
"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy","In this research, we propose to investigate the impacts of globalization on the economy of Los Angeles and the wider region of Southern California. Our objective is to build analytical models of the interface between the local and the global economies in order to assess not just the immediate and most obvious impacts of globalization (such as changes in volume of trade and industrial specialization) but also to trace the indirect effects of globalization on the character and likely trajectory of local economic development. We plan to identify and to map the diverse weak and strong points of the local economy in relation to globalization processes, and to pinpoint their precise locations in Los Angeles’ production system. Key industrial clusters will be identified, and the nature of their local and global linkages will be detailed. At the same time, we will look closely at the relationship between processes of globalization and the structure of local labor markets in Los Angeles. We intend to explore the local employment effects of globalization, first through analysis of changes in the supply and demand for workers with different skills, and second through investigation of the local labor market impacts of these changes on different segments of the population, especially African-Americans, Hispanics, women and immigrants. Labor markets across Southern California will be mapped in terms of their trade dependence.","Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.","Breau, S. and D.L. Rigby 2006. Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data. International Regional Science Review 29 (3) 297-310.","2006","UCLA",NA,"Breau, S. and D.L. Rigby","2006",NA
"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy","In this research, we propose to investigate the impacts of globalization on the economy of Los Angeles and the wider region of Southern California. Our objective is to build analytical models of the interface between the local and the global economies in order to assess not just the immediate and most obvious impacts of globalization (such as changes in volume of trade and industrial specialization) but also to trace the indirect effects of globalization on the character and likely trajectory of local economic development. We plan to identify and to map the diverse weak and strong points of the local economy in relation to globalization processes, and to pinpoint their precise locations in Los Angeles’ production system. Key industrial clusters will be identified, and the nature of their local and global linkages will be detailed. At the same time, we will look closely at the relationship between processes of globalization and the structure of local labor markets in Los Angeles. We intend to explore the local employment effects of globalization, first through analysis of changes in the supply and demand for workers with different skills, and second through investigation of the local labor market impacts of these changes on different segments of the population, especially African-Americans, Hispanics, women and immigrants. Labor markets across Southern California will be mapped in terms of their trade dependence.","Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.","Breau, S. and D.L. Rigby 2006. Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.  CES Working paper WP-06-06","2006","UCLA",NA,"Breau, S. and D.L. Rigby","2006",NA
"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy","In this research, we propose to investigate the impacts of globalization on the economy of Los Angeles and the wider region of Southern California. Our objective is to build analytical models of the interface between the local and the global economies in order to assess not just the immediate and most obvious impacts of globalization (such as changes in volume of trade and industrial specialization) but also to trace the indirect effects of globalization on the character and likely trajectory of local economic development. We plan to identify and to map the diverse weak and strong points of the local economy in relation to globalization processes, and to pinpoint their precise locations in Los Angeles’ production system. Key industrial clusters will be identified, and the nature of their local and global linkages will be detailed. At the same time, we will look closely at the relationship between processes of globalization and the structure of local labor markets in Los Angeles. We intend to explore the local employment effects of globalization, first through analysis of changes in the supply and demand for workers with different skills, and second through investigation of the local labor market impacts of these changes on different segments of the population, especially African-Americans, Hispanics, women and immigrants. Labor markets across Southern California will be mapped in terms of their trade dependence.","Participation in Export Markets and Plant Productivity in Los Angeles, 1987-1997.","S. Breau and D.L. Rigby 2008 . Participation in Export Markets and Plant Productivity in Los
Angeles, 1987-1997. Economic Geography 84 (1) 27-50.","2008","UCLA",NA,"S. Breau and D.L. Rigby","2008",NA
"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy","In this research, we propose to investigate the impacts of globalization on the economy of Los Angeles and the wider region of Southern California. Our objective is to build analytical models of the interface between the local and the global economies in order to assess not just the immediate and most obvious impacts of globalization (such as changes in volume of trade and industrial specialization) but also to trace the indirect effects of globalization on the character and likely trajectory of local economic development. We plan to identify and to map the diverse weak and strong points of the local economy in relation to globalization processes, and to pinpoint their precise locations in Los Angeles’ production system. Key industrial clusters will be identified, and the nature of their local and global linkages will be detailed. At the same time, we will look closely at the relationship between processes of globalization and the structure of local labor markets in Los Angeles. We intend to explore the local employment effects of globalization, first through analysis of changes in the supply and demand for workers with different skills, and second through investigation of the local labor market impacts of these changes on different segments of the population, especially African-Americans, Hispanics, women and immigrants. Labor markets across Southern California will be mapped in terms of their trade dependence.","Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.","Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data. California Center for Population Research Working Paper.","2006","UCLA",NA,"Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data. California Center for Population Research Working Paper.",NA,NA
"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy","In this research, we propose to investigate the impacts of globalization on the economy of Los Angeles and the wider region of Southern California. Our objective is to build analytical models of the interface between the local and the global economies in order to assess not just the immediate and most obvious impacts of globalization (such as changes in volume of trade and industrial specialization) but also to trace the indirect effects of globalization on the character and likely trajectory of local economic development. We plan to identify and to map the diverse weak and strong points of the local economy in relation to globalization processes, and to pinpoint their precise locations in Los Angeles’ production system. Key industrial clusters will be identified, and the nature of their local and global linkages will be detailed. At the same time, we will look closely at the relationship between processes of globalization and the structure of local labor markets in Los Angeles. We intend to explore the local employment effects of globalization, first through analysis of changes in the supply and demand for workers with different skills, and second through investigation of the local labor market impacts of these changes on different segments of the population, especially African-Americans, Hispanics, women and immigrants. Labor markets across Southern California will be mapped in terms of their trade dependence.","Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data.","Rigby, D. L., Breau, S. (2008) Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data. Annals of the Association of American Geographers, 98: 920–940.","2008","UCLA",NA,"Rigby, D. L., Breau, S.","2008",NA
