title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms
Premium Growth between 1997 and 2004 and its Effect on Employer-Sponsored Insurance,,"While economic theory predicts that workers bear the cost of rising health insurance premiums with reductions in wages and/or other benefits, empirical evidence on the existence of a wage-health insurance tradeoff has been mixed. Empirical analyses have been hampered by the fact that individuals with employer-sponsored insurance (ESI) are usually more skilled and have higher wages than those without insurance. For instance, a simple regression of wages on the presence of health insurance typically leads to a positive, rather than a negative relationship. Several recent studies have used difference-in-differences strategies to explore this topic across geographic areas with differing health care costs or inflation rates. For instance, Sheiner (1999) finds evidence that age-wage profiles are flattest in high-health cost areas, reflecting the incidence of health costs on workers' wages. Sommers (2005) finds evidence that when employers are faced with rising premiums, the increased insurance costs can be better absorbed through wage adjustments in areas with high general inflation or by high wage workers. Both of these studies analyzed household level survey data. We extend this literature using employer level data from the 1999-2004 Medical Expenditure Panel Survey - Insurance Component (MEPS-IC), a large, nationally representative survey of employers and their health insurance plans. We also extend prior work in that we use difference-in-differences strategies to examine the effect of high premium growth on a wider set of health insurance outcomes: the likelihood that an employer will offer insurance, the levels of employee premium contributions and the generosity of benefits. Our strategies involve comparing areas with varying levels of premium growth, general inflation and employers with different wage distributions. To form premium-specific inflation measures, we predict values from a hedonic regression of MEPS-IC premiums on various MSA-level measures of health care costs as well as plan type and benefits. MSA-level predictions are then formed by fixing plan type and benefits, so that the only source of variation is health care costs. To identify areas with varying levels of inflation, we combine the MEPS-IC data with the CPI for Metropolitan Statistical Areas (which provides MSA-specific inflation rates over time). The MEPS-IC data are arguably better suited for studying many aspects of the ESI market than are widely-used household data sources such as the CPS or the MEPS-Household Component and provides a rich data resource for exploring a wide range of hypotheses regarding the impact of premium growth on the presence and generosity of ESI offers.",2007,6/1/2007,0,Thomas M. Selden; Jessica Vistnes,Agency for Healthcare Research and Quality; Agency for Healthcare Research and Quality; Health and Human Services Agency,"Healthcare Policy and Management; Global Health Care Issues; Retirement, Disability, and Employment",SSRN Electronic Journal,article,Jessica P Vistnes,https://openalex.org/A5012630128,Medical Expenditure Panel Survey - Insurance Component,Medical Expenditure Panel Survey - Insurance Component
"Novel Healthcare Model, Continuation of Inequality: Exploring the Role of Micro Hospitals in Texas Healthcare Access Through Demographic Spatial Modeling",https://doi.org/10.31219/osf.io/ev6r2,"Purpose: Micro hospitals are a new form of for-profit healthcare facility with rapid expansion in some parts of the country. They continue to grow in Texas without in-depth public understanding or explicit policy guidance on their role in the healthcare system. Our project aims to define socioeconomic and demographic characteristics of areas served by micro and regular hospitals, and by doing so assess micro hospitals’ impact in expanding healthcare access for disadvantaged populations in Texas.Methodology/Approach: We 1) estimated hospital service areas (catchment areas) with a spatial model based on advanced Geographic Information System (GIS) methods using a proprietary ESRI traffic network; 2) assigned population socioeconomic measures to the catchment areas from the 2014–2018 American Community Survey 5-Year Estimates, weighted with an empirically tested Gaussian distribution; 3) used two-tailed t-tests to compare means of population characteristics between micro and regular hospital catchment areas, and 4) conducted logistic regressions to examine relationships between selected population variables and the associated odds of micro hospital presence.Findings: We found micro hospitals in Texas tend to serve a population less stressed in healthcare access compared to those who are more in need as measured by various dimensions of disadvantages.Research Limitations/Implications: Our analysis takes a cross sectional look at the population characteristics of micro hospital service areas. Even though the initial geographic choices of micro hospitals may not reflect the long-term population changes in specific neighborhoods, our analysis can provide policy makers a tool to examine healthcare access for disadvantaged populations at given point in time. As the population socioeconomic characteristics have long been associated with healthcare inequality, we hope our analysis will help foster structural policy considerations that balance growing healthcare delivery innovations and their social accountability.Originality/Value of Paper: We used GIS based spatial modeling to dynamically capture the potential patient basis by travel time calculated with a street network dataset rather than using the traditional static census tract to define hospital service areas. By mapping these boundaries in space we illustrated patterns that regression alone might not. Most importantly, by integrating both spatial and nonspatial dimensions of healthcare access, we demonstrated that the policy considerations on the implications of equal opportunity for healthcare access need to take into account the social realities for those experiencing the most vulnerability in our society, rather than a conceptual “equality” existing in the spatial and market abstraction.",2022,9/15/2022,0,Jingqiu Ren; Ryan Earl; Ernesto F. L. Amaral,Texas A&M University; Texas A&M University; Texas A&M University,Urban Transport and Accessibility,,preprint,Jingqiu Ren,https://openalex.org/A5101556088,BOC Master Address File Auxiliary Reference File (MAFARF); American Community Survey; Harmonized Decennial Census,American Community Survey
Automation and the Workforce: A Firm-Level View from the 2019 Annual Business Survey,https://doi.org/10.2139/ssrn.4282509,"This paper describes the adoption of automation technologies by US firms across all economic sectors by leveraging a new module introduced in the 2019 Annual Business Survey, conducted by the US Census Bureau in partnership with the National Center for Science and Engineering Statistics (NCSES). The module collects data from over 300,000 firms on the use of five advanced technologies: AI, robotics, dedicated equipment, specialized software, and cloud computing. The adoption of these technologies remains low (especially for AI and robotics), varies substantially across industries, and concentrates on large and young firms. However, because larger firms are much more likely to adopt them, 12-64% of US workers and 22-72% of manufacturing workers are exposed to these technologies. Firms report a variety of motivations for adoption, including automating tasks previously performed by labor. Consistent with the use of these technologies for automation, adopters have higher labor productivity and lower labor shares. In particular, the use of these technologies is associated with a 11.4% higher labor productivity, which accounts for 20-30% of the difference in labor productivity between large firms and the median firm in an industry. Adopters report that these technologies raised skill requirements and led to greater demand for skilled labor but brought limited or ambiguous effects to their employment levels.Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at www.nber.org.",2022,1/1/2022,51,Daron Acemoğlu; Gary Clayton Anderson; David N. Beede; Catherine Buffington; Eric Childress; Emin Dinlersoz; Lucia Foster; Nathan Goldschlag; John Haltiwanger; Zachary Kroff; Pascual Restrepo; Nikolas Zolas,"Centre for Economic Policy Research; National Bureau of Economic Research; Massachusetts Institute of Technology; U.S. National Science Foundation; United States Census Bureau; United States Census Bureau; George Mason University; United States Census Bureau; United States Census Bureau; United States Census Bureau; National Bureau of Economic Research; University of Maryland, College Park; IZA - Institute of Labor Economics; United States Census Bureau; University of California, Davis; United States Census Bureau",Labor market dynamics and wage inequality; COVID-19 Pandemic Impacts; Digital Economy and Work Transformation,SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,Annual Business Survey; Census of Services; Survey of Industrial Research and Development,Annual Business Survey
Automation and the Workforce: A Firm-Level View from the 2019 Annual Business Survey,https://doi.org/10.3386/w30659,No abstract available,2022,11/1/2022,39,Daron Acemoğlu; Gary L. Anderson; D.K. Beede; Cathy Buffington; Eric Childress; Emin Dinlersoz; Lucia Foster; Nathan Goldschlag; John Haltiwanger; Zachary Kroff; Pascual Restrepo; Nikolas Zolas,,Labor market dynamics and wage inequality; COVID-19 Pandemic Impacts; Digital Economy and Work Transformation,,report,John C Haltiwanger,https://openalex.org/A5010043276,Annual Business Survey; Census of Services; Survey of Industrial Research and Development,Annual Business Survey
Advanced Technology Adoption: Selection or Causal Effects?,https://doi.org/10.1257/pandp.20231037,"This paper uses data from the 2019 Annual Business Survey to document that firms adopting advanced technologies are larger in terms of employment than other firms in their same industry and cohort. Using data from the Longitudinal Business Survey, we show that adopters were already large and growing faster before artificial intelligence, robotics, cloud computing, and specialized software systems became broadly available. These findings support the view that adopters are large because of selection and not because adopting advanced technologies for automation causally expands their employment.",2023,5/1/2023,24,Daron Acemoğlu; Gary L. Anderson; David N. Beede; Catherine Buffington; Eric Childress; Emin Dinlersoz; Lucia Foster; Nathan Goldschlag; John Haltiwanger; Zachary Kroff; Pascual Restrepo; Nikolas Zolas,"Moscow Institute of Thermal Technology; National Center for Science and Engineering Statistics; United States Census Bureau; United States Census Bureau; George Mason University; United States Census Bureau; United States Census Bureau; United States Census Bureau; United States Census Bureau; United States Census Bureau; George Mason University; University of Maryland, College Park; Boston University",Firm Innovation and Growth; Innovation Diffusion and Forecasting; Digital Platforms and Economics,AEA Papers and Proceedings,article,John C Haltiwanger,https://openalex.org/A5010043276,Annual Business Survey; Census of Services; Survey of Industrial Research and Development,Annual Business Survey
Integrated Longitudinal Business Database: Data Overview,https://doi.org/10.2139/ssrn.1022119,"The Integrated Longitudinal Business Database is an extension of the Longitudinal Business Database, a longitudinal data set of all employer business establishments from 1975 through 2005 constructed at the Census Bureau's Center for Economic Studies.",2007,1/1/2007,7,John Haltiwanger; Ron S. Jarmin,"IZA - Institute of Labor Economics; National Bureau of Economic Research; University of Maryland, College Park; United States Census Bureau",demographic modeling and climate adaptation,SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,Compustat-SSEL Bridge; Integrated Longitudinal Business Database; Longitudinal Business Database - With EIN and Revenue,Integrated Longitudinal Business Database
Measuring the Dynamics of Young and Small Businesses: Integrating the Employer and Nonemployer Universes,https://doi.org/10.3386/w13226,"We develop a preliminary version of an Integrated Longitudinal Business Database (ILBD) that combines administrative records and survey data for all employer and nonemployer business units in the United States.Unlike other large-scale business databases, the ILBD tracks business transitions from nonemployer to employer status.This feature of the ILBD opens a new frontier for the study of business formation, early lifecycle dynamics and the precursors to job creation in the U.S. economy.There are 5.4 million nonfarm business firms with employees as of 2000 and another 15.5 million with no employees.Our analysis focuses on 40 industries that account for nearly half of nonemployers and 36 percent of nonemployer revenues.Within these industries, nonemployers account for 14 percent of business revenues.About 220,000 of the seven million nonemployers in our selected industries hire workers and migrate to the employer universe over a three-year horizon.These Migrants account for 20 percent of revenue among young employers (three years or less since first hire).Compared to other nonemployers, the revenue of Migrants grows very rapidly in the year prior to and the year of transition to employer status.",2007,7/1/2007,87,Steven J. Davis; John Haltiwanger; Ron S. Jarmin; C.J. Krizan; Javier Miranda; Alfred Nucci; Kristin Sandusky,"National Bureau of Economic Research; United States Census Bureau; University of Chicago; University of Maryland, College Park; United States Census Bureau; University of Chicago; University of Maryland, College Park; National Bureau of Economic Research; National Bureau of Economic Research; University of Chicago; United States Census Bureau; University of Maryland, College Park; United States Census Bureau; University of Chicago; University of Maryland, College Park; National Bureau of Economic Research; National Bureau of Economic Research; United States Census Bureau; University of Chicago; University of Maryland, College Park; National Bureau of Economic Research; University of Maryland, College Park; United States Census Bureau; University of Chicago; National Bureau of Economic Research; United States Census Bureau; University of Chicago; University of Maryland, College Park",Firm Innovation and Growth; Entrepreneurship Studies and Influences; Labor market dynamics and wage inequality,,report,John C Haltiwanger,https://openalex.org/A5010043276,Compustat-SSEL Bridge; Integrated Longitudinal Business Database; Longitudinal Business Database - With EIN and Revenue,Integrated Longitudinal Business Database
Measuring the Dynamics of Young and Small Businesses: Integrating the Employer and Nonemployer Universes,,"We develop a preliminary version of an Integrated Longitudinal Business Database (ILBD) that combines administrative records and survey data for all employer and nonemployer business units in the United States. Unlike other large-scale business databases, the ILBD tracks business transitions from nonemployer to employer status. This feature of the ILBD opens a new frontier for the study of business formation, early lifecycle dynamics and the precursors to job creation in the U.S. economy. There are 5.4 million nonfarm business firms with employees as of 2000 and another 15.5 million with no employees. Our analysis focuses on 40 industries that account for nearly half of nonemployers and 36 percent of nonemployer revenues. Within these industries, nonemployers account for 14 percent of business revenues. About 220,000 of the seven million nonemployers in our selected industries hire workers and migrate to the employer universe over a three-year horizon. These Migrants account for 20 percent of revenue among young employers (three years or less since first hire). Compared to other nonemployers, the revenue of Migrants grows very rapidly in the year prior to and the year of transition to employer status.",2007,1/1/2007,43,Steven J. Davis; John Haltiwanger; Ronald S. Jarmin; C.J. Krizan; Javier Miranda; Alfred Nucci; Kristin Sandusky,,"Migration, Ethnicity, and Economy; Entrepreneurship Studies and Influences; Firm Innovation and Growth",National Bureau of Economic Research,article,John C Haltiwanger,https://openalex.org/A5010043276,Compustat-SSEL Bridge; Integrated Longitudinal Business Database; Longitudinal Business Database - With EIN and Revenue,Integrated Longitudinal Business Database
Measuring the Dynamics of Young and Small Businesses,https://doi.org/10.7208/chicago/9780226172576.003.0010,"Abstract This chapter presents an attempt to measure producer dynamics for the business population. The analysis concentrates on forty industries for which smaller and younger businesses play especially important roles. The data reveals that fluctuations in nonemployer size, measured in terms of revenue, from year to year are much larger for nonemployer firms than employer firms. But as nonemployer firms age and grow, the volatility of their revenue stream declines. Migrants are on a trajectory of rapid growth before and during the transition to employer status. In addition, migrants from the nonemployer universe account for a sizable share of young employers in the industries studied. The Integrated Longitudinal Business Database (ILBD) makes it possible to explore the behavior over time of virtually all businesses in the U.S. economy, employers and nonemployers alike, with robust samples and even entire populations.",2009,1/1/2009,19,Steven J. Davis; John Haltiwanger; Ronald S. Jarmin; C.J. Krizan; Javier Miranda; Alfred Nucci; Kristin Sandusky,,Firm Innovation and Growth; Entrepreneurship Studies and Influences; Global trade and economics,University of Chicago Press eBooks,book-chapter,John C Haltiwanger,https://openalex.org/A5010043276,Compustat-SSEL Bridge; Integrated Longitudinal Business Database; Longitudinal Business Database - With EIN and Revenue,Integrated Longitudinal Business Database
Measuring the Dynamics of Young and Small Businesses: Integrating the Employer and Nonemployer Universes,,"We develop a preliminary version of an Integrated Longitudinal Business Database (ILBD) that combines administrative records and survey-based data for virtually all employer and nonemployer business units in the United States. In the process, we confront conceptual and practical issues that arise in measuring the importance and dynamic behavior of younger and smaller businesses. We also document some basic facts about younger and smaller businesses. In doing so, we exploit the ability of the ILBD to follow business transitions between employer and nonemployer status, and vice-versa. This aspect of the ILBD opens a new frontier for the study of business formation and the precursors to job creation in the U.S. economy.",2006,2/1/2006,12,Javier Miranda; Alfred Nucci; Steven J. Davis; John Haltiwanger; Ron S. Jarmin; C.J. Krizan; Kristin Sandusky,,Firm Innovation and Growth; Labor market dynamics and wage inequality; Entrepreneurship Studies and Influences,RePEc: Research Papers in Economics,preprint,John C Haltiwanger,https://openalex.org/A5010043276,Compustat-SSEL Bridge; Integrated Longitudinal Business Database; Longitudinal Business Database - With EIN and Revenue,Integrated Longitudinal Business Database
Technology and the Demand for Skill:An Analysis of Within and Between Firm Differences,https://doi.org/10.3386/w13043,"We estimate the effects of technology investments on the demand for skilled workers using longitudinally integrated employer-employee data from the U.S. Census Bureau's Longitudinal Employer-Household Dynamics Program infrastructure files spanning two Economic Censuses (1992 and 1997).We estimate the distribution of human capital and its observable and unobservable components within each business for each year from 1992 to 1997.We measure technology using variables from the Annual Survey of Manufactures and the Business Expenditures Survey (services, wholesale and retail trade), both administered during the 1992 Economic Census.Static and partial adjustment models are fit.There is a strong positive empirical relationship between advanced technology and skill in a cross-sectional analysis of businesses in both sectors.The more comprehensive measures of skill reveal that advanced technology interacts with each component of skill quite differently: firms that use advanced technology are more likely to use high-ability workers, but less likely to use high-experience workers.These results hold even when we control for unobservable heterogeneity by means of a selection correction and by using a partial adjustment specification.",2007,4/1/2007,60,John M. Abowd; John Haltiwanger; Julia Lane; Kevin L. McKinney; Kristin Sandusky,"National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; Cornell University; National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; Cornell University; Cornell University; National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; National Opinion Research Center; University of Chicago; University of California, Los Angeles; United States Census Bureau; National Bureau of Economic Research; University of Maryland, College Park; Cornell University; National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; Cornell University",Labor market dynamics and wage inequality; Firm Innovation and Growth; Regional Economics and Spatial Analysis,,report,John C Haltiwanger,https://openalex.org/A5010043276,Census of Manufactures; Annual Survey of Manufactures; Business Enterprise Research and Development Survey (BERD),Annual Survey of Manufactures
Gross Job Flows for the U.S. Manufacturing Sector: Measurement from the Longitudinal Research Database,,"Measures of job creation and destruction are now produced regularly by the U.S. statistical agencies. The Bureau of Labor Statistics releases via the Business Employment Dynamics (BED) on a quarterly basis measures of job creation and destruction for the U.S. nonfarm business sector and related disaggregation by industrial sector and size class. The U.S. Census Bureau has developed the Longitudinal Business Database (LBD) covering the nonfarm business sector that has been used to produce research analysis and special tabulations including tabulations of job creation and destruction. Both of these data programs build upon the measurement methods and data analysis of job creation and destruction measures from the Longitudinal Research Database (LRD) developed and published by Davis, Haltiwanger and Schuh (1996). In this paper, the LRD based estimates of job creation and destruction are updated and made available for consistent annual and quarterly series from 1972-1998. While the BED and LBD programs are more comprehensive in scope than the LRD, the extensive development of the LRD permits the construction of measures of job creation and destruction for a rich array of employer characteristics including industry, size, business age, ownership structure, location and wage structure. The updated series that are released with this working paper provide measures along each of these dimensions. The paper describes in detail the changes in the processing of the Annual Survey of Manufactures over the 1972-1998 period that are important to incorporate by users of the LRD at Census Research Data Centers as well as users of products from the LRD such as job creation and destruction.",2006,12/1/2006,20,Lucia Foster; John Haltiwanger; Namsuk Kim,"University of Maryland, College Park",Firm Innovation and Growth; Labor market dynamics and wage inequality; Economic Growth and Productivity,RePEc: Research Papers in Economics,preprint,John C Haltiwanger,https://openalex.org/A5010043276,Census of Manufactures; Annual Survey of Manufactures; Business Enterprise Research and Development Survey (BERD),Annual Survey of Manufactures
Published Versus Sample Statistics From The ASM: Implications For The LRD,,"In principle, the Longitudinal Research Database ( LRD ) which links the establishments in the Annual Survey of Manufactures (ASM) is ideal for examining the dynamics of firm and aggregate behavior. However, the published ASM aggregates are not simply the appropriately weighted sums of establishment data in the LRD . Instead, the published data equal the sum of LRD-based sample estimates and nonsample estimates. The latter reflect adjustments related to sampling error and the imputation of small-establishment data. Differences between the LRD and the ASM raise questions for users of both data sets. For ASM users, time-series variation in the difference indicates potential problems in consistently and reliably estimating the nonsample portion of the ASM. For LRD users, potential sample selection problems arise due to the systematic exclusion of data from small establishments. Microeconomic studies based on the LRD can yield misleading inferences to the extent that small establishments behave differently. Similarly, new economic aggregates constructed from the LRD can yield incorrect estimates of levels and growth rates. This paper documents cross-sectional and time-series differences between ASM and LRD estimates of levels and growth rates of total employment, and compares them with employment estimates provided by Bureau of Labor Statistics and County Business Patterns data. In addition, this paper explores potential adjustments to economic aggregates constructed from the LRD. In particular, the paper reports the results of adjusting LRD-based estimates of gross job creation and destruction to be consistent with net job changes implied by the published ASM figures.",1991,1/1/1991,18,John Haltiwanger; Steven J. Davis; Scott Schuh,,Economic theories and models; Economic Growth and Productivity; Economic Theory and Policy,RePEc: Research Papers in Economics,preprint,John C Haltiwanger,https://openalex.org/A5010043276,Census of Manufactures; Annual Survey of Manufactures; Business Enterprise Research and Development Survey (BERD),Annual Survey of Manufactures
Annual Survey of Manufactures Sample Weights in the 1963 and 1967 Census of Manufactures,,"This document describes a quick method for estimating Annual Survey of Manufactures sample weights for the 1963 and 1967 Census of Manufactures surveys, and briefly discusses the patterns of the sample weights over time. These sample weights are missing from the 1963 and 1967 Census of Manufactures microdata files, and are needed for any research using the Annual Survey of Manufactures sample in 1963 and 1967.",2003,1/1/2003,0,Mary Streitweiser; Cheryl Grim; John Haltiwanger,,Global trade and economics; Italy: Economic History and Contemporary Issues,,article,John C Haltiwanger,https://openalex.org/A5010043276,Census of Manufactures; Annual Survey of Manufactures; Business Enterprise Research and Development Survey (BERD),Census of Manufactures; Annual Survey of Manufactures
Technology and the Demand for Skill: An Analysis of Within and Between Firm Differences,https://doi.org/10.2139/ssrn.970249,"We estimate the effects of technology investments on the demand for skilled workers using longitudinally integrated employer-employee data from the U.S. Census Bureau's Longitudinal Employer-Household Dynamics Program infrastructure files spanning two Economic Censuses (1992 and 1997). We estimate the distribution of human capital and its observable and unobservable components within each business for each year from 1992 to 1997. We measure technology using variables from the Annual Survey of Manufactures and the Business Expenditures Survey (services, wholesale and retail trade), both administered during the 1992 Economic Census. Static and partial adjustment models are fit. There is a strong positive empirical relationship between advanced technology and skill in a cross-sectional analysis of businesses in both sectors. The more comprehensive measures of skill reveal that advanced technology interacts with each component of skill quite differently: firms that use advanced technology are more likely to use high-ability workers, but less likely to use high-experience workers. These results hold even when we control for unobservable heterogeneity by means of a selection correction and by using a partial adjustment specification.",2007,1/1/2007,6,John M. Abowd; John Haltiwanger; Julia Lane; Kevin L. McKinney; Lee Kristin Sandusky,"IZA - Institute of Labor Economics; Cornell University; Centre de Recherche en Économie et Statistique; Centre for Research in Engineering Surface Technology; Center for Responsible Travel; United States Census Bureau; National Australia Bank; University of Maryland, College Park; National Bureau of Economic Research; IZA - Institute of Labor Economics; IZA - Institute of Labor Economics; Wagner College; University of California, Los Angeles; United States Census Bureau","Labor market dynamics and wage inequality; Gender, Labor, and Family Dynamics; Regional Economics and Spatial Analysis",SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,Census of Manufactures; Annual Survey of Manufactures; Business Enterprise Research and Development Survey (BERD),Annual Survey of Manufactures
Interpolating U.S. Decennial Census Tract Data from as Early as 1970 to 2010: A Longitudinal Tract Database,https://doi.org/10.1080/00330124.2014.905156,"Differences in the reporting units of data from diverse sources and changes in units over time are common obstacles to analysis of areal data. We compare common approaches to this problem in the context of changes over time in the boundaries of U.S. census tracts. In every decennial census many tracts are split, consolidated, or changed in other ways from the previous boundaries to reflect population growth or decline. We examine two interpolation methods to create a bridge between years, one that relies only on areal weighting and another that also introduces population weights. Results demonstrate that these approaches produce substantially different estimates for variables that involve population counts, but they have a high degree of convergence for variables defined as rates or averages. Finally the paper describes the Longitudinal Tract Data Base (LTDB), through which we are making available public-use tools to implement these methods to create estimates within 2010 tract boundaries for any tract-level data (from the census or other sources) that are available for prior years as early as 1970.",2014,5/13/2014,405,John Logan; Zengwang Xu; Brian J. Stults,John Brown University; University of Wisconsin–Milwaukee; Florida State University,Impact of Light on Environment and Health; Atmospheric and Environmental Gas Dynamics; Data-Driven Disease Surveillance,The Professional Geographer,article,John R Logan,https://openalex.org/A5048869586,American Community Survey; Address Control FIle; Decennial Census; Disclosure Avoidance Population Tables,Decennial Census
Models for Small Area Estimation for Census Tracts,https://doi.org/10.1111/gean.12215,"This study examines issues of Small Area Estimation that are raised by reliance on the American Community Survey (ACS), which reports tract‐level data based on much smaller samples than the decennial census long‐form that it replaced. We demonstrate the problem using a 100% transcription of microdata from the 1940 census. By drawing many samples from two major cities, we confirm a known pattern: random samples yield unbiased point estimates of means or proportions, but estimates based on smaller samples have larger average errors in measurement and greater risk of large error. Sampling variability also inflates estimates of measures of variation across areas (reflecting segregation or spatial inequality). This variation is at the heart of much contemporary spatial analysis. We then evaluate possible solutions. For point estimates, we examine three Bayesian models, all of which reduce sampling variation, and we encourage use of such models to correct ACS small area estimates. However, the corrected estimates cannot be used to calculate estimates of variation, because smoothing toward local or grand means artificially reduces variation. We note that there are potential Bayesian approaches to this problem, and we demonstrate an efficacious alternative that uses the original sample data.",2019,7/10/2019,8,John Logan; Cici Bauer; Jun Ke; Hongwei Xu; Fan Li,"Brown University; The University of Texas Health Science Center at Houston; Brown University; Queens College, CUNY; Yale University",Spatial and Panel Data Analysis; demographic modeling and climate adaptation; Housing Market and Economics,Geographical Analysis,article,John R Logan,https://openalex.org/A5048869586,American Community Survey; Address Control FIle; Decennial Census; Disclosure Avoidance Population Tables,American Community Survey; Decennial Census
The Uptick in Income Segregation: Real Trend or Random Sampling Variation?,https://doi.org/10.1086/697528,"Recent trends in income segregation in metropolitan regions show that, after a decline in the 1990s, there was an increase in 2000–2010 that reinforced concerns about the overall growth in U.S. income inequality since the 1970s. Yet the evidence may be systematically biased to exacerbate the upward trend because the effective sample for the American Community Survey (ACS) is much smaller than it was for the 2000 census to which it is being compared. Apparent changes in disparities across census tracts may result partly from a higher level of sampling variation and bias due to the smaller sample. This study uses 100% microdata from the 1940 census to simulate the impact of different sampling rates and applies those approaches to publicly available data for 2000 and 2007–11. The reduction in sample sizes associated with the ACS appears to exaggerate the evidence for increasing income segregation for all measures tested here.",2018,6/27/2018,41,John Logan; Andrew Foster; Jun Ke; Fan Li,John Brown University; John Brown University; John Brown University; Duke University,"Urban, Neighborhood, and Segregation Studies; Housing Market and Economics; School Choice and Performance",American Journal of Sociology,article,John R Logan,https://openalex.org/A5048869586,American Community Survey; Address Control FIle; Decennial Census; Disclosure Avoidance Population Tables,American Community Survey
The Uptick in Income Segregation: Real Trend or Random Sampling Variance,https://doi.org/10.3386/w23656,"Recent studies have reported a reversal of an earlier trend in income segregation in metropolitan regions, from a decline in the 1990s to an increase in the 2000-2010 decade.This finding reinforces concerns about the growing overall income inequality in the U.S. since the 1970s.Yet the evidence may be systematically biased to show an upward trend because the effective sample for the American Community Survey (ACS) is much smaller than it was for Census 2000, to which it is being compared.There is a possibility that the apparent changes in disparities across census tracts result partly from a higher level of sampling variation and bias due to the smaller sample.This study uses 100% microdata from the 1940 census to simulate the impact of different sampling rates on estimates of several measures of segregation and to propose and test the effectiveness of approaches to correcting the bias.It then applies those approaches to publicly available data for 2000 and 2007-2011.The reduction in sample sizes associated with the ACS results in exaggeration of evidence for increasing income segregation for all measures tested here, especially for subgroups (African Americans are studied here as an example).The methods of correction applied here will yield more conclusive and unbiased results when applied to the original sample data that is held internally by the Census Bureau.",2017,8/1/2017,0,John Logan; Andrew Foster; Jun Ke; Fan Li,Brown University; National Bureau of Economic Research; Brown University; National Bureau of Economic Research; Brown University; National Bureau of Economic Research; Brown University; National Bureau of Economic Research; Duke University,"Income, Poverty, and Inequality",,preprint,John R Logan,https://openalex.org/A5048869586,American Community Survey; Address Control FIle; Decennial Census; Disclosure Avoidance Population Tables,American Community Survey
The Uptick in Income Segregation: Real Trend or Random Sampling Variance,,"Recent studies have reported a reversal of an earlier trend in income segregation in metropolitan regions, from a decline in the 1990s to an increase in the 2000-2010 decade. This finding reinforces concerns about the growing overall income inequality in the U.S. since the 1970s. Yet the evidence may be systematically biased to show an upward trend because the effective sample for the American Community Survey (ACS) is much smaller than it was for Census 2000, to which it is being compared. There is a possibility that the apparent changes in disparities across census tracts result partly from a higher level of sampling variation and bias due to the smaller sample. This study uses 100% microdata from the 1940 census to simulate the impact of different sampling rates on estimates of several measures of segregation and to propose and test the effectiveness of approaches to correcting the bias. It then applies those approaches to publicly available data for 2000 and 2007-2011. The reduction in sample sizes associated with the ACS results in exaggeration of evidence for increasing income segregation for all measures tested here, especially for subgroups (African Americans are studied here as an example). The methods of correction applied here will yield more conclusive and unbiased results when applied to the original sample data that is held internally by the Census Bureau.",2017,1/1/2017,0,John Logan; Andrew Foster; Jun Ke; Fan Li,John Brown University; John Brown University; John Brown University; Duke University,"Urban, Neighborhood, and Segregation Studies; School Choice and Performance",,article,John R Logan,https://openalex.org/A5048869586,American Community Survey; Address Control FIle; Decennial Census; Disclosure Avoidance Population Tables,American Community Survey
The Uptick in Income Segregation: Real Trend or Random Sampling Variance,,"Recent studies have reported a reversal of an earlier trend in income segregation in metropolitan regions, from a decline in the 1990s to an increase in the 2000-2010 decade. This finding reinforces concerns about the growing overall income inequality in the U.S. since the 1970s. Yet the evidence may be systematically biased to show an upward trend because the effective sample for the American Community Survey (ACS) is much smaller than it was for Census 2000, to which it is being compared. There is a possibility that the apparent changes in disparities across census tracts result partly from a higher level of sampling variation and bias due to the smaller sample. This study uses 100% microdata from the 1940 census to simulate the impact of different sampling rates on estimates of several measures of segregation and to propose and test the effectiveness of approaches to correcting the bias. It then applies those approaches to publicly available data for 2000 and 2007-2011. The reduction in sample sizes associated with the ACS results in exaggeration of evidence for increasing income segregation for all measures tested here, especially for subgroups (African Americans are studied here as an example). The methods of correction applied here will yield more conclusive and unbiased results when applied to the original sample data that is held internally by the Census Bureau.",2017,8/1/2017,0,John Logan; Andrew Foster; Jun Ke; Fan Li,John Brown University; Brown University; John Brown University; Duke University,"Urban, Neighborhood, and Segregation Studies; School Choice and Performance",,article,John R Logan,https://openalex.org/A5048869586,American Community Survey; Address Control FIle; Decennial Census; Disclosure Avoidance Population Tables,American Community Survey
